Title,Year,IMDb Rating,Duration,Genres,Cast,Director,Providers
Project Hail Mary(2026),2026,8.5,157,"['Science-Fiction', 'Action & Adventure', 'Drama', 'Mystery & Thriller']","['Ryan Gosling', 'Sandra Hüller', 'James Ortiz', 'Lionel Boyce', 'Milana Vayntrub', 'Ken Leung', 'Priya Kansara', 'Mia Soteriou', 'Annelle Olaleye', 'Bastian Antonio Fuentes', 'Alice Brittain', 'Michael Akinsulire', 'Travis Jay', 'Geoffrey Lumb', 'Paul Lambert', 'Orion Lee', 'Aaron Neil', 'Michelle Greenidge', 'Bernhard Schütz', 'Amira Ghazalla']",['Phil Lord'],"['AMC Theatres', 'Fandango', 'Crunchyroll', 'Atom Tickets', 'Cinemark', 'Cinepolis Cinemas', 'Harkins Theatres', 'JustWatch']"
The Housemaid(2025),2025,6.8,131,"['Science-Fiction', 'Action & Adventure', 'Drama', 'Mystery & Thriller']","['Sydney Sweeney', 'Amanda Seyfried', 'Brandon Sklenar', 'Michele Morrone', 'Elizabeth Perkins', 'Amanda Joy Erickson', 'Sarah Cooper', 'Megan Ferguson', 'Ellen Tamaki', 'Don DiPetta', 'Alaina Surgener', 'Alexandra Seal', 'Brian D. Cohen', 'Arabella Olivia Clark', 'Ken Barnett', 'Matt Walton', 'Maury Ginsberg', 'Piper Rae Patterson', 'Jeffrey Bean', 'Ellen Adair']",['Paul Feig'],"['Starz Amazon Channel', 'Amazon Video', 'Starz Apple TV Channel', 'Starz Roku Premium Channel', 'Starz', 'Philo', 'Starz Amazon Channel', 'JustWatch', 'JustWatch', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'FlixFling', 'Plex', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Fandango', 'Marcus Theatres', 'Fandango At Home', 'JustWatch']"
Send Help(2026),2026,7.2,113,"['Horror', 'Mystery & Thriller', 'Comedy']","['Rachel McAdams', ""Dylan O'Brien"", 'Dennis Haysbert', 'Xavier Samuel', 'Chris Pang', 'Thaneth Warakulnukroh', 'Emma Raimi', 'Kristy Best', 'Francesca Waters']",['Sam Raimi'],"['Amazon Video', 'Apple TV Store', 'Amazon Video', 'Apple TV Store', 'Amazon Prime Video', 'Fandango At Home', 'Hulu', 'Fandango', 'Marcus Theatres', 'Amazon DVD / Blu-ray', 'JustWatch']"
Crime 101(2026),2026,7.0,141,"['Mystery & Thriller', 'Crime', 'Drama']","['Chris Hemsworth', 'Mark Ruffalo', 'Halle Berry', 'Barry Keoghan', 'Monica Barbaro', 'Nick Nolte', 'Corey Hawkins', 'Jennifer Jason Leigh', 'Peter Banifaz', 'Babak Tafti', 'Payman Maadi', 'Hossein Mardani', 'Tate Donovan', 'Andra Nechita', 'Crosby Fitzgerald', 'Patrick Mulvey', 'Hanako Footman', 'Paul Adelstein', 'Devon Bostick', 'Benjamin Barrett']",['Bart Layton'],"['Amazon Prime Video', 'Amazon Prime Video', 'Amazon Prime Video with Ads', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Fandango', 'Fandango At Home', 'JustWatch']"
Mike & Nick & Nick & Alice(2026),2026,7.1,107,"['Science-Fiction', 'Crime', 'Comedy', 'Action & Adventure']","['James Marsden', 'Vince Vaughn', 'Eiza González', 'Keith David', 'Jimmy Tatro', 'Stephen Root', 'Lewis Tan', 'Ben Schwartz', 'Emily Hampshire', 'Arturo Castro', 'Dolph Lundgren', 'Paul Cheng', 'Maxime Savaria', 'Sara Alicia Garcia', 'Mackenzee Cullen', 'Kaitlyn Bacon', 'Stanlee Arches', 'Tristan Carlucci', 'David Tomlinson', 'Dylan Playfair']",['BenDavid Grabinski'],"['Hulu', 'Hulu', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch']"
28 Years Later: The Bone Temple(2026),2026,7.4,109,"['Horror', 'Mystery & Thriller', 'Science-Fiction']","['Ralph Fiennes', ""Jack O'Connell"", 'Alfie Williams', 'Erin Kellyman', 'Chi Lewis-Parry', 'Emma Laird', 'Ghazi Al Ruffai', 'Mirren Mack', 'Louis Ashbourne Serkis', 'David Sterne', 'Lynne Anne Rodgers', 'Gordon Alexander', 'Cillian Murphy', 'Gareth Locke', 'Celi Crossland']",['Nia DaCosta'],"['Amazon Video', 'Apple TV Store', 'Netflix', 'Netflix Standard with Ads', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'FlixFling', 'Plex', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Fandango', 'Marcus Theatres', 'JustWatch']"
Marty Supreme(2025),2025,7.8,149,"['Drama', 'Sport', 'Mystery & Thriller']","['Timothée Chalamet', 'Gwyneth Paltrow', ""Odessa A'zion"", ""Kevin O'Leary"", 'Tyler', 'The Creator', 'Fran Drescher', 'Abel Ferrara', 'Emory Cohen', 'Géza Röhrig', 'Larry Sloman', 'Ralph Colucci', 'George Gervin', 'Sandra Bernhard', 'John Catsimatidis', 'Nick Waplington', 'Nikhil Kumar', 'Conn Horgan', 'Timo Boll', 'Mahadeo Shivraj', 'John Keating']",['Josh Safdie'],"['HBO Max Amazon Channel', 'Amazon Video', 'HBO Max', 'HBO Max Amazon Channel', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'JustWatch', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'FlixFling', 'Plex', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'Amazon DVD / Blu-ray', 'Fandango', 'Marcus Theatres', 'Fandango At Home', 'JustWatch']"
Anaconda(2025),2025,5.6,99,"['Comedy', 'Horror']","['Jack Black', 'Paul Rudd', 'Steve Zahn', 'Thandiwe Newton', 'Daniela Melchior', 'Selton Mello', 'Ice Cube', 'Ione Skye', 'Rui Ricardo Diaz', 'John Billingsley', 'Sebastian Sero', 'Jarred Blakiston', 'John Voce', 'Lisa Kay', 'Ron Smyck', 'Ben Lawson', 'Renee Herbert', 'Yasmin Kassim', 'Cheree Cassidy', 'Jennifer Lopez']",['Tom Gormican'],"['Amazon Video', 'Apple TV Store', 'Netflix', 'Netflix Standard with Ads', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'FlixFling', 'Plex', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Barnes & Noble', 'Barnes & Noble', 'Amazon DVD / Blu-ray', 'Barnes & Noble', 'Fandango', 'Marcus Theatres', 'JustWatch']"
"Good Luck, Have Fun, Don't Die(2026)",2026,7.1,134,"['Science-Fiction', 'Comedy']","['Sam Rockwell', 'Juno Temple', 'Haley Lu Richardson', 'Michael Peña', 'Zazie Beetz', 'Asim Chaudhry', 'Tom Taylor', 'Georgia Goodman', 'Daniel Barnett', 'Artie Wilkinson-Hunt', 'Riccardo Drayton', 'Dominique Maher', 'David Sturzaker', 'Adam Burton', 'Elly Condron', 'Meghan Oberholzer', 'Tanya van Graan', 'Dino Fetscher', 'Chris Fisher', 'Danica Jones']",['Gore Verbinski'],"['Amazon Video', 'Apple TV Store', 'Amazon Video', 'Apple TV Store', 'Crunchyroll', 'Fandango At Home', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'Fandango', 'GRUV', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'Amazon DVD / Blu-ray', 'JustWatch']"
The Running Man(2025),2025,6.4,133,"['Science-Fiction', 'Action & Adventure', 'Mystery & Thriller']","['Glen Powell', 'William H. Macy', 'Lee Pace', 'Michael Cera', 'Emilia Jones', 'Daniel Ezra', 'Jayme Lawson', 'Sean Hayes', ""Katy O'Brian"", 'Colman Domingo', 'Josh Brolin', 'Karl Glusman', 'David Zayas', 'Martin Herlihy', 'Danny McCarthy', 'Angelo Gray', 'Alyssa Benn', 'Sienna Benn', 'Greg Townley', 'Joey Ansah']",['Edgar Wright'],"['Amazon Prime Video', 'Amazon Video', 'Amazon Prime Video', 'fuboTV', 'MGM+ Amazon Channel', 'Paramount Plus Premium', 'Paramount Plus Essential', 'Paramount+ Amazon Channel', 'MGM Plus', 'Philo', 'Paramount+ Roku Premium Channel', 'Amazon Prime Video with Ads', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'FlixFling', 'JustWatch TV', 'Plex', 'Amazon Video', 'Apple TV Store', 'Fandango At Home', 'Amazon DVD / Blu-ray', 'Barnes & Noble', 'Barnes & Noble', 'Amazon DVD / Blu-ray', 'Fandango', 'Fandango At Home', 'JustWatch']"
